Strain,nopred1,nopred2,nopred3,nopred4,pred1,pred2,pred3,pred4,Time(h),MeanDiff
B2-01,0.1629,0.1525,0.1425,0.1528,0.1814,0.2016,0.1711,0.1787,0,-0.030525
B2-01,0.1695,0.1587,0.1527,0.1662,0.187,0.1976,0.1758,0.1863,3,-0.0249
B2-01,0.1888,0.1709,0.1641,0.1825,0.1964,0.2135,0.1851,0.2118,6,-0.025125
B2-01,0.2652,0.2226,0.25,0.2712,0.298,0.3289,0.2663,0.287,21,-0.0428
B2-01,0.3289,0.2568,0.2954,0.333,0.2662,0.308,0.2976,0.316,24,0.006575
B2-01,0.2906,0.2735,0.3044,0.2998,0.2919,0.2929,0.2622,0.3255,27,-0.00105
B2-01,0.3574,0.283,0.3675,0.4358,0.3162,0.314,0.2839,0.3361,30,0.048375
B2-01,0.5257,0.3903,0.4171,0.4399,0.2902,0.308,0.2402,0.3535,45,0.145275
B2-01,0.4287,0.3889,0.5165,0.4773,0.3922,0.3618,0.2964,0.3776,48,0.09585
B2-01,0.5396,0.5221,0.5712,0.5337,0.5447,0.4681,0.338,0.4539,51,0.090475
B2-01,0.5346,0.5762,0.5313,0.6937,0.5836,0.5251,0.4291,0.5111,66,0.071725
B2-01,0.6337,0.5592,0.6566,0.7123,0.3618,0.7077,0.4632,0.6995,69,0.0824
B2-01,0.6214,0.6228,0.77,0.6384,0.3719,0.7228,0.4419,0.6842,72,0.10795
B2-01,0.6942,0.5625,0.7531,0.8103,0.3378,0.7237,0.5139,0.5756,75,0.167275
B2-01,0.6316,0.5841,0.6504,0.6493,0.3302,1.0444,0.3645,0.4612,90,0.078775
B2-01,0.7829,0.5325,0.7698,0.7076,0.4258,0.4259,0.4194,0.4333,93,0.2721
B2-01,0.697,0.6713,0.9133,0.785,0.317,0.3984,0.3585,0.3536,96,0.409775
B2-01,0.8123,0.7513,0.7999,0.825,0.39,0.3869,0.3425,0.3466,99,0.430625
B2-01,0.7745,0.6391,0.8057,0.5168,0.2836,0.3085,0.3861,0.3555,114,0.3506
B2-01,0.9165,0.661,1.06,0.762,0.2767,0.2929,0.343,0.3343,117,0.53815
B2-03,0.1519,0.1498,0.1717,0.1594,0.2026,0.1803,0.1838,0.217,0,-0.037725
B2-03,0.1606,0.1563,0.183,0.1681,0.2043,0.1656,0.1891,0.1937,3,-0.021175
B2-03,0.1751,0.1713,0.1979,0.1843,0.2197,0.1742,0.1937,0.2038,6,-0.0157
B2-03,0.1972,0.1914,0.2208,0.2047,0.2315,0.1869,0.2071,0.2197,21,-0.007775
B2-03,0.2147,0.2133,0.2423,0.2383,0.2462,0.2056,0.2157,0.2291,24,0.003
B2-03,0.2437,0.2463,0.2731,0.2606,0.2738,0.2093,0.2238,0.248,27,0.0172
B2-03,0.2635,0.2945,0.3112,0.2937,0.2946,0.2295,0.2644,0.2559,30,0.029625
B2-03,0.3152,0.3959,0.3891,0.3366,0.3177,0.2399,0.2879,0.2781,45,0.0783
B2-03,0.3337,0.2979,0.3508,0.358,0.348,0.2698,0.3057,0.3054,48,0.027875
B2-03,0.3666,0.3167,0.3778,0.3768,0.4031,0.288,0.326,0.3475,51,0.018325
B2-03,0.4479,0.3532,0.4605,0.4535,0.5264,0.3041,0.3545,0.3676,66,0.040625
B2-03,0.4736,0.4368,0.5744,0.4966,0.5654,0.3622,0.4042,0.3887,69,0.065225
B2-03,0.5068,0.4259,0.4864,0.5389,0.6009,0.4314,0.4942,0.4285,72,0.00075
B2-03,0.5299,0.3856,0.5306,0.5013,0.6173,0.5342,0.5914,0.5589,75,-0.0886
B2-03,0.6993,0.4662,0.5768,0.7234,0.6695,0.4513,0.4855,0.5527,90,0.076675
B2-03,0.5653,0.3924,0.9634,0.8677,0.812,0.3684,0.7159,0.6389,93,0.0634
B2-03,0.5287,0.3838,0.4913,0.5797,0.6314,0.3726,0.5668,0.5459,96,-0.0333
B2-03,0.5366,0.3488,0.6153,0.6261,0.4441,0.4564,0.8697,0.5501,99,-0.048375
B2-03,0.8173,0.898,0.5796,0.6882,0.4979,0.3814,0.5515,0.5618,114,0.247625
B2-03,0.9346,0.5763,0.7487,0.9298,0.4726,0.4475,0.5614,0.707,117,0.250225
B2-04,0.1477,0.1671,0.1517,0.1553,0.1808,0.1933,0.1944,0.1786,0,-0.031325
B2-04,0.1555,0.1724,0.1595,0.1641,0.1801,0.1982,0.1911,0.1753,3,-0.0233
B2-04,0.1658,0.1866,0.1705,0.1739,0.1948,0.2091,0.2025,0.1868,6,-0.0241
B2-04,0.1861,0.2075,0.1927,0.1965,0.2211,0.2287,0.2226,0.2147,21,-0.026075
B2-04,0.2091,0.2346,0.2183,0.2136,0.2687,0.2528,0.2415,0.2185,24,-0.026475
B2-04,0.2421,0.2624,0.252,0.2374,0.3393,0.2799,0.2484,0.2282,27,-0.025475
B2-04,0.2831,0.2865,0.2809,0.2773,0.3519,0.3039,0.2684,0.2593,30,-0.013925
B2-04,0.3362,0.3317,0.3598,0.3331,0.3425,0.3457,0.3051,0.268,45,0.024875
B2-04,0.334,0.3762,0.3942,0.3502,0.6732,0.391,0.3355,0.3192,48,-0.066075
B2-04,0.3645,0.3862,0.4474,0.3709,0.6775,0.4346,0.3771,0.402,51,-0.08055
B2-04,0.4144,0.4435,0.5989,0.4636,0.7395,0.5699,0.5014,0.4968,66,-0.0968
B2-04,0.454,0.5721,0.6998,0.4927,1.2361,0.5962,0.5519,0.5153,69,-0.170225
B2-04,0.4701,0.518,0.5733,0.5357,1.1679,0.7242,0.5565,0.4764,72,-0.206975
B2-04,0.4675,0.5211,0.7722,0.559,1.0999,0.7395,0.6406,0.7138,75,-0.2185
B2-04,0.5281,0.4836,0.6064,0.7404,1.6095,0.8451,0.7192,0.903,90,-0.429575
B2-04,0.5132,0.7616,0.767,0.6514,1.3834,0.8655,0.7935,1.0006,93,-0.33745
B2-04,0.5487,0.5567,0.7494,0.5897,1.5885,0.9812,0.7674,1.0641,96,-0.489175
B2-04,0.7228,0.4377,0.553,0.6044,1.2423,0.9389,0.7496,1.1156,99,-0.432125
B2-04,0.8214,0.7708,0.8307,0.8931,1.0758,1.1008,0.8392,1.1902,114,-0.2225
B2-04,1.2101,1.7398,1.5407,1.0021,0.6901,0.9413,0.9969,0.9254,117,0.48475
B2-06,0.1469,0.1347,0.1472,0.1521,0.1829,0.1863,0.1838,0.1545,0,-0.03165
B2-06,0.1516,0.1387,0.1528,0.1542,0.1954,0.1805,0.1857,0.1518,3,-0.029025
B2-06,0.1624,0.1464,0.1683,0.1665,0.1923,0.189,0.1924,0.1602,6,-0.022575
B2-06,0.1906,0.1713,0.1971,0.1955,0.2179,0.2146,0.2145,0.1776,21,-0.017525
B2-06,0.2151,0.1929,0.2142,0.219,0.2297,0.229,0.236,0.1973,24,-0.0127
B2-06,0.2273,0.2002,0.224,0.2387,0.2744,0.2443,0.2412,0.214,27,-0.020925
B2-06,0.2465,0.2058,0.2339,0.2593,0.271,0.254,0.2531,0.2282,30,-0.0152
B2-06,0.3384,0.2827,0.3051,0.3577,0.3148,0.2776,0.291,0.2682,45,0.033075
B2-06,0.319,0.297,0.3689,0.3244,0.3478,0.2846,0.3081,0.2813,48,0.021875
B2-06,0.338,0.3243,0.4245,0.3288,0.3731,0.308,0.3273,0.31,51,0.0243
B2-06,0.4289,0.4944,0.7132,0.4975,0.4486,0.3305,0.4117,0.4006,66,0.13565
B2-06,0.4695,0.6212,0.6445,0.5173,0.4737,0.3479,0.4432,0.4381,69,0.1374
B2-06,0.393,0.5332,0.5954,0.4067,0.4549,0.3473,0.4874,0.4553,72,0.04585
B2-06,0.4098,0.5977,0.7265,0.4886,0.4482,0.3533,0.4503,0.4083,75,0.140625
B2-06,0.5764,0.6925,0.6078,0.7163,0.4399,0.3029,0.3746,0.476,90,0.2499
B2-06,0.6318,0.6418,0.6592,0.7498,0.5205,0.4486,0.411,0.508,93,0.198625
B2-06,0.6013,0.7489,0.6954,0.6546,0.4459,0.408,0.3942,0.5254,96,0.231675
B2-06,0.7264,0.7537,0.6962,0.9616,0.4555,0.459,0.674,0.5636,99,0.24645
B2-06,0.6226,0.9427,0.7757,0.7462,0.4545,0.4587,0.4429,0.3955,114,0.3339
B2-06,0.5825,0.9036,0.7736,0.6329,0.4824,0.5909,0.6552,0.5228,117,0.160325
B2-07,0.1549,0.1465,0.1589,0.1536,0.1731,0.1898,0.1832,0.2028,0,-0.03375
B2-07,0.1569,0.1498,0.169,0.1593,0.173,0.1862,0.186,0.1854,3,-0.0239
